Group,Category,Year,Value
FEMALE,15,2006,13.7
FEMALE,15,2007,13.8
FEMALE,15,2008,14.9
FEMALE,15,2009,14.9
FEMALE,15,2010,15.8
FEMALE,15,2011,13
FEMALE,15,2012,17.4
FEMALE,15,2013,21.1
FEMALE,15,2014,20.7
FEMALE,15,2015,26.7
FEMALE,15,2016,21
FEMALE,15,2017,27.2
FEMALE,15,2018,
FEMALE,15,2019,
FEMALE,15,2020,
FEMALE,15,2021,
FEMALE,15,2022,
FEMALE,15,2023,
FEMALE,16,2004,19.1
FEMALE,16,2005,17.1
FEMALE,16,2006,17
FEMALE,16,2007,17.3
FEMALE,16,2008,17.6
FEMALE,16,2009,14.6
FEMALE,16,2010,15.7
FEMALE,16,2011,18.5
FEMALE,16,2012,18.3
FEMALE,16,2013,18.9
FEMALE,16,2014,20.7
FEMALE,16,2015,22.3
FEMALE,16,2016,25.8
FEMALE,16,2017,24.1
FEMALE,16,2018,
FEMALE,16,2019,
FEMALE,16,2020,
FEMALE,16,2021,
FEMALE,16,2022,
FEMALE,16,2023,
FEMALE,17,2004,17.4
FEMALE,17,2005,17.1
FEMALE,17,2006,14
FEMALE,17,2007,15.9
FEMALE,17,2008,15.1
FEMALE,17,2009,14.8
FEMALE,17,2010,13.5
FEMALE,17,2011,16.1
FEMALE,17,2012,15.4
FEMALE,17,2013,19.5
FEMALE,17,2014,21
FEMALE,17,2015,21.5
FEMALE,17,2016,24.7
FEMALE,17,2017,25.5
FEMALE,17,2018,
FEMALE,17,2019,
FEMALE,17,2020,
FEMALE,17,2021,
FEMALE,17,2022,
FEMALE,17,2023,
